name,nature,menu_parent,variant_matric,value,location,price,image,description,meta_description,meta_keyword _ __,view,active,video,how2fix,
Mantle Bed,task,Bed,Type,Single Regular,Hyderabad,250,Carpentry/Mantle.jpg,Make sure that bed is diamantle so that you can easily put it together. Extra effort while dismantling the bed can mean saving time and having less frustration later when putting the bed back together.  ,Mantle a bed.,,,1,,,
,,,,Single Branded,Hyderabad,275,,,,,,,,,
,,,,Double Regular,Hyderabad,350,,,,,,,,,
,,,,Double Branded,Hyderabad,375,,,,,,,,,
,,,,Bunk Regular,Hyderabad,450,,,,,,,,,
,,,,Bunk Branded,Hyderabad,500,,,,,,,,,
Dismantle Bed,task,Bed,Type,Single Regular,Hyderabad,200,Carpentry/Dismantle-Bed.jpg,How to dismantle a bed and taking apart the bed frame isnêt the real problem. Taking it apart so that you can easily put it together is the issue. Extra effort while dismantling the bed can mean saving time and having less frustration later when putting the bed back together.  ,Disassemble a bed. Tools needed to disassemble a bed. ,,,1,,"Floor Frame Beds
1. Remove the mattress and box spring from the floor frame. Move them out of the room to free up the work space.
2. Undo the bolts and nuts that hold the headboard and footboard to the frame using the appropriate tools. Ask your assistant to hold the headboard or footboard while you're undoing the hardware. Have him hold it so it remains vertical. Leaning can cause the bolts and nuts to bind, making it more difficult to remove them.<br><br>3. Loosen the wing-nuts holding the extension connecting arms of the frame together. Pull the frame apart. Fold down the extension connecting arms so they are flush with the main side rails of the frame. Some frames, though, are one solid piece and can't be broken down. Knock the frames apart with a rubber mallet if needed. <br><br>Raised Frame Beds<br>4. Remove the mattress, box frame and cross-bracing slats between the two side rails. Put them in a different room to clear the work space.
5. Undo the hardware bolts and nuts that are holding one of the side rails to the headboard and footboard. If a bolt or nut spins while you're trying to undo them, you will need to hold the bolt head with one wrench while holding the nut with another and turn them opposite of each other.
6. Ask the assistant to hold the footboard while you undo the hardware on that end of the side rail. Have him move the footboard out of the way and go hold the headboard up while you remove the nuts and bolts of the side rail. Let the free end of the rail rest on the floor to take the pressure off the nuts and bolts. Too much lean will cause the hardware to bind.
Bunk beds
7. Remove the safety rail from the upper bunk bed by loosening and extracting the nuts and bolts holding it to the side rail. Use the appropriate wrenches to do the job.
8. Remove the mattresses, box springs and cross-bracing slats between the side rails of each bed. Remove all of these items from the room to free up the work space.
9. Pull or push the bunk bed frames away from any surrounding walls so that you can work around them.
10. Undo latches or hardware that hold the legs of the headboard and footboard of the upper bed frame to the headboard and footboard of the lower bed frame.
11. Ask the assistant to stand at one end of the headboard while you stand at the other end of the headboard. Count to three and then lift the top bunk bed frame up off the lower bed frame and move it to an open area of the room. Use the rubber mallet to hit the undersides of the upper bed frame it they don't easily separate. Set it down in an open area of the room. Repeat the disassembly instructions for raised bed frames to take both bunk bed frames apart.
<br> Source: eHow
",
,,,,Single Branded,Hyderabad,220,,,,,,,,,
,,,,Double Regular,Hyderabad,275,,,,,,,,,
,,,,Double Branded,Hyderabad,330,,,,,,,,,
,,,,Bunk Regular,Hyderabad,385,,,,,,,,,
,,,,Bunk Branded,Hyderabad,450,,,,,,,,,
Repair a Bed,task,Bed,Type,,Hyderabad,0,Carpentry/Fix-bed.jpg,Fixing awould depends on the type of the problem you are facing. Efforts can only be determined on site.,Repair a bed,,,1,,,
