name,nature,menu_parent,value,price,image,description,meta_description,,view,active,video,how2fix,Tools
"Dell  Vostro 1550,2520,3550, 3560 Laptop KeyBoard ",tools,Dell,"Vostro 1550,2520,3550,3560 Island Keyboard--White",1600,Vostro_Island,<br>Layout: US </br> <br>Colour:White<br>,"Dell Vostro 1550,2520,3550,3560 Laptop Keyboard. Replace your old laptop keyboard with the keyboard of your choice: Backlit,Island and Normal",,,1,,,
,,,"Vostro 1550,2520,3550,3560 Island Keyboard--Black",1600,,<br>Layout: US </br> <br>Colour:Black<br>,,,,,,,
,,,"Vostro 1550,2520,3550,3560 Back Lit Keyboard--White",1500,Vostro_Backlit,<br>Layout: US </br> <br>Colour:White<br>,,,,,,,
,,,"Vostro 1550,2520,3550,3560 Back Lit Keyboard--Black",1500,,<br>Layout: US </br> <br>Colour:Black<br>,,,,,,,
,,,"Vostro 1550,2520,3550,3560  Keyboard-White",1250,,<br>Layout: US </br> <br>Colour:White<br>,,,,,,,
,,,"Vostro 1550,2520,3550,3560 Keyboard--Black",1250,,<br>Layout: US </br> <br>Colour:Black<br>,,,,,,,
"Dell Vostro 2420,1420 Laptop Keyboard",tools,Dell,Vostro 2420 Island Keyboard--White,1600,Vostro_Island,<br>Layout: US </br> <br>Colour:White<br>,"Dell Vostro 2420,1420  Laptop Keyboard. Replace your old laptop keyboard with the keyboard of your choice: Backlit,Island and Normal",,,,,,
,,,Vostro 2420 Island Keyboard--Black,1600,,<br>Layout: US </br> <br>Colour:Black<br>,,,,,,,
,,,"Vostro 2420,1420 Backlit Keyboard--White",1500,Vostro_Backlit,<br>Layout: US </br> <br>Colour:White<br>,,,,,,,
,,,"Vostro 2420,1420 Backlit Keyboard--Black",1500,,<br>Layout: US </br> <br>Colour:Black<br>,,,,,,,
,,,"Vostro 2420,1420  Keyboard--White",1250,,<br>Layout: US </br> <br>Colour:White<br>,,,,,,,
,,,"Vostro 2420,1420  Keyboard--Black",1250,,<br>Layout: US </br> <br>Colour:Black<br>,,,,,,,
"Dell Inspiron 1525,1545,3521,5521,15R,15Z,7537 Laptop Keyboard",tools,Dell,"Dell Inspiron 1525,1545,3521,5521,15R,15Z,7537 Laptop Island Keyboard--White",1900,,<br>Layout: US </br> <br>Colour:White<br>,"Dell Inspiron 1525,1545,3521,5521,15R,15Z,7537 Laptop Island Keyboard.Replace your old laptop keyboard with the keyboard of your choice: Backlit,Island and Normal",,,,,,
,,,"Dell Inspiron 1525,1545,3521,5521,15R,15Z,7537 Laptop Island Keyboard--Black",1900,,<br>Layout: US </br> <br>Colour:Black<br>,,,,,,,
,,,"Dell Inspiron 1525,1545,3521,5521,15R,15Z,7537 Laptop  Back Lit Keyboard--White",1600,,<br>Layout: US </br> <br>Colour:White<br>,,,,,,,
,,,"Dell Inspiron 1525,1545,3521,5521,15R,15Z,7537 Laptop  Back Lit Keyboard--Black",1600,,<br>Layout: US </br> <br>Colour:Black<br>,,,,,,,
,,,"Dell Inspiron 1525,1545,3521,5521,15R,15Z,7537 Laptop  Keyboard--White",1250,,<br>Layout: US </br> <br>Colour:White<br>,,,,,,,
,,,"Dell Inspiron 1525,1545,3521,5521,15R,15Z,7537 Laptop  Keyboard--Black",1250,,<br>Layout: US </br> <br>Colour:Black<br>,,,,,,,
"Dell Inspiron 3421, 14Z 5423, 14R 5421 Laptop Keyboard",tools,Dell,"Dell Inspiron 3421, 14Z 5423, 14R 5421 Laptop Island Keyboard--White",1700,,<br>Layout: US </br> <br>Colour:White<br>,"Dell Inspiron 3421, 14Z 5423, 14R 5421 Laptop Keyboard.Replace your old laptop keyboard with the keyboard of your choice: Backlit,Island and Normal",,,,,,
,,,"Dell Inspiron 3421, 14Z 5423, 14R 5421 Laptop Island Keyboard--Black",1700,,<br>Layout: US </br> <br>Colour:Black<br>,,,,,,,
,,,"Dell Inspiron 3421, 14Z 5423, 14R 5421 Laptop Back Lit Keyboard--White",1550,,<br>Layout: US </br> <br>Colour:White<br>,,,,,,,
,,,"Dell Inspiron 3421, 14Z 5423, 14R 5421 Laptop Back Lit Keyboard--Black",1550,,<br>Layout: US </br> <br>Colour:Black<br>,,,,,,,
,,,"Dell Inspiron 3421, 14Z 5423, 14R 5421 Laptop  Keyboard--White",1250,,<br>Layout: US </br> <br>Colour:White<br>,,,,,,,
,,,"Dell Inspiron 3421, 14Z 5423, 14R 5421 Laptop  Keyboard--Black",1250,,<br>Layout: US </br> <br>Colour:Black<br>,,,,,,,
"Dell  Vostro 1550,2520,3550, 3560 Laptop  Cooling Fan with Heat Sink ",tools,Dell,"Dell  Vostro 1550,2520,3550, 3560 Laptop  Cooling Fan with Heat Sink ",1299,,,"Dell  Vostro 1550,2520,3550, 3560 Laptop  Cooling Fan with Heat Sink . Overheating of laptop? Replace your cooling fan for better performance.",,,,,,
"Dell Vostro 2420,1420 Laptop Cooling Fan with Heat Sink",Parts,Dell,"Dell Vostro 2420,1420 Laptop Cooling Fan with Heat Sink",1299,,,"Dell Vostro 2420,1420 Laptop Cooling Fan with Heat Sink.Overheating of laptop? Replace your cooling fan for better performance.",,,,,,
"Dell Inspiron 1525,1545,3521,5521,15R,15Z,7537 Laptop Cooling Fan with Heat Sink",Parts,Dell,"Dell Inspiron 1525,1545,3521,5521,15R,15Z,7537 Laptop Cooling Fan with Heat Sink",1299,,,"Dell Inspiron 1525,1545,3521,5521,15R,15Z,7537 Laptop Cooling Fan with Heat Sink.Overheating of laptop? Replace your cooling fan for better performance.",,,,,,
"Dell Inspiron 3421, 14Z 5423, 14R 5421 Laptop Cooling Fan with Heat Sink",Parts,Dell,"Dell Inspiron 3421, 14Z 5423, 14R 5421 Laptop Cooling Fan with Heat Sink",1299,,,"Dell Inspiron 3421, 14Z 5423, 14R 5421 Laptop Cooling Fan with Heat Sink.Overheating of laptop? Replace your cooling fan for better performance.",,,,,,
"Dell  Vostro 1550,2520,3550, 3560 Laptop LCD/LED Cable",Parts,Dell,"Dell  Vostro 1550,2520,3550, 3560 Laptop LCD/LED Cable",1299,,,"Dell  Vostro 1550,2520,3550, 3560 Laptop LCD/LED Cable",,,,,,
"Dell Vostro 2420,1420 Laptop LCD/LED Cable",Parts,Dell,"Dell Vostro 2420,1420 Laptop LCD/LED Cable",1299,,,"Dell Vostro 2420,1420 Laptop LCD/LED Cable",,,,,,
"Dell Inspiron 1525,1545,3521,5521,15R,15Z,7537 Laptop LCD/LED Cable",Parts,Dell,"Dell Inspiron 1525,1545,3521,5521,15R,15Z,7537 Laptop LCD/LED Cable",1299,,,"Dell Inspiron 1525,1545,3521,5521,15R,15Z,7537 Laptop LCD/LED Cable",,,,,,
"Dell Inspiron 3421, 14Z 5423, 14R 5421 Laptop LCD/LEDCable",Parts,Dell,"Dell Inspiron 3421, 14Z 5423, 14R 5421 Laptop LCD/LEDCable",1299,,,"Dell Inspiron 3421, 14Z 5423, 14R 5421 Laptop LCD/LEDCable",,,,,,
