name,nature,menu_parent,variant_matric,value,,price,image,description,meta_description,meta_keyword _ __,view,active,video,how2fix,Tools
iPhone 2GS Touch + LCD Replacement,tool and task,iPhone/Screen Replacement,Parts Type,,Hyderabad,,Mobile/iPhone/2g_screen.jpg,This is a full front screen replacement for the 1st Generation iPhone. Unfortunately the glass the and LCD on the 1st Gen iPhone can not be separated therefore we will replace both the glass/digitizer and the LCD.,"Replace iPhone2G  Touch Screen, tools to replace iPhone 2G Touch",,,1,71o1QcyWoWs,"<a href=""http://www.portatronics.com/guide/iPhone-Repair-Guide/iphone-2g-screen-replacement.html"">Screen Replace Guide from Portatronics</a>",
iPhone 3G Screen Touch Replacement,tool and task,iPhone/Screen Replacement,Parts Type,,Hyderabad,,Mobile/iPhone/2g_screen.jpg,"Drop your iPhone 3G only to discover the front glass had cracked or shattered? Don't worry, we promise you're not alone. To get started, simply add this service to your shopping cart below and follow the steps to checkout or call us","Replace iPhone 3G  Touch Screen, tools to replace iPhone 3G Touch",,,1,xWLTCD6howY,"<a href=""http://www.wikihow.com/Fix-an-iPhone-3G-Screen"">Screen Replace Guide from WikiHow</a><br><a href=""http://tidbits.com/article/10389"">Screen Replace Guide from TidBits</a>",
iPhone 3GS Touch Replacement,tool and task,iPhone/Screen Replacement,Parts Type,,Hyderabad,,Mobile/iPhone/2g_screen.jpg,"Drop your iPhone 3GS only to discover the front glass had cracked or shattered? Don't worry, we promise you're not alone. To get started, simply add this service to your shopping cart below and follow the steps to checkout or call us","Replace iPhone 3GS  Touch Screen, tools to replace iPhone 3GS Touch",,,1,xWLTCD6howY,"<a href=""http://www.ifixit.com/Guide/iPhone+3GS+Display+Replacement/1542"">Screen Replace Guide from iFixit</a>",
iPhone 3GS LCD Replacement,tool and task,iPhone/Screen Replacement,Parts Type,,Hyderabad,,Mobile/iPhone/3g_screen.jpg,"This is a replacement service for the LCD display on the iPhone 3G. If your iPhone 3G is experiencing one of the following symptoms, a replacement LCD will solve your problems:- Bleeding or slashed screen- Cracked LCD- Dead pixel(s)- All white or black screen","Replace iPhone 3GS  LCD, tools to replace iPhone 3GS LCD",,,1,xWLTCD6howY,"<a href=""http://www.ifixit.com/Guide/iPhone+3GS+Display+Replacement/1542"">Screen Replace Guide from iFixit</a>",
iPhone 4 Touch + LCD Replacement,tool and task,iPhone/Screen Replacement,Parts Type,,Hyderabad,,Mobile/iPhone/4g_screen.jpg,This is a full front screen replacement for iPhone 4. Unfortunately the glass the and LCD on iPhone 4 can not be separated therefore we will replace both the glass/digitizer and the LCD.,"Replace iPhone 4 Touch Screen, tools to replace iPhone 4 Touch + LCD",,,1,iNM90pb-Xwk,"<a href=""http://www.ifixit.com/Guide/iPhone+4+Display+Assembly+Replacement/11755"">Screen Replace Guide from iFixit</a>",
iPhone 4s Touch + LCD Replacement,tool and task,iPhone/Screen Replacement,Parts Type,,Hyderabad,,Mobile/iPhone/4g_screen.jpg,This is a full front screen replacement for iPhone 4s. Unfortunately the glass the and LCD on iPhone 4s can not be separated therefore we will replace both the glass/digitizer and the LCD.,"Replace iPhone 4s Touch Screen, tools to replace iPhone 4s Touch + LCD",,,1,bTvYVBFL31g,"<a href=""http://www.ifixit.com/Guide/iPhone+4S+Display+Assembly+Replacement/7277"">Screen Replace Guide from iFixit</a>",
iPhone 5 Touch + LCD Replacement,tool and task,iPhone/Screen Replacement,Parts Type,,Hyderabad,,Mobile/iPhone/5_screen.jpg,"This is a full front screen replacement for iPhone 5c.This is a replacement service for the LCD display on the iPhone 5. If your iPhone 5 is experiencing one of the following symptoms, a replacement LCD will solve your problems:- Bleeding or slashed screen- Cracked LCD- Dead pixel(s)- All white or black screen",Replace iPhone 4s LCD tools to replace iPhone 4s LCD,,,1,yQ4SU_aXF0o,"<a href=""http://www.imore.com/how-replace-cracked-screen-iphone-5"">Screen Replace Guide from iMore</a>",
iPhone 5c Touch + LCD Replacement,tool and task,iPhone/Screen Replacement,Parts Type,,Hyderabad,,Mobile/iPhone/5_screen.jpg, Unfortunately the glass the and LCD on iPhone 5c  can not be separated therefore we will replace both the glass/digitizer and the LCD.,Replace iPhone 4s LCD tools to replace iPhone 4s LCD,,,1,6Zoyp6RmFjQ,"<a href=""http://www.imore.com/how-replace-broken-screen-iphone-5c"">Screen Replace Guide from iMore</a>",
iPhone 5s Touch + LCD Replacement,tool and task,iPhone/Screen Replacement,Parts Type,,Hyderabad,,Mobile/iPhone/5_screen.jpg,This is a full front screen replacement for iPhone 5s. Unfortunately the glass the and LCD on iPhone 5s  can not be separated therefore we will replace both the glass/digitizer and the LCD.,Replace iPhone 4s LCD tools to replace iPhone 4s LCD,,,1,6Zoyp6RmFjQ,"<a href=""http://www.imore.com/how-replace-broken-screen-iphone-5s"">Screen Replace Guide from iMore</a>",
iPhone 2 Battery Replacement,tool and task,iPhone/Battery Replacement,Parts Type,,Hyderabad,,Mobile/iPhone/2g_battery.jpg,"Is the battery on your iPhone dying faster than it should, not charging properly, or showing no signs of life? Then this repair is right for you. Our battery replacement service will provide you with a brand new battery, allowing your phone to perform as it should! Replace the battery of the iPhone. It would probabily the easist repairs for an iPhone.","iPhone 2  Battery Replacement, tools to replace iPhone 2 battery",,,1,TT0HiW9T0lk,"<a href=""http://www.ifixit.com/Guide/iPhone+1st+Generation+Battery+Replacement/448"">Battery Replace Guide from iFixit</a>",
